userid	username	instanceid
	1	gr1
	2	gr1
	3	gr1
	6	gr2
	4	gr2
	5	gr2
	10	gr4
	11	gr4
	12	gr4
	ck3qy0grs00y701yw1ifder0t	gr9
	ck3qy19g400yb01yw9g0h5s5b	gr9
	ck3qy1bnb00yd01ywd6ur9p73	gr9
	ck3qy1o7k00yf01yw5vwnhas5	gr9
	ck3qy1u0s00yh01yw9ey6fdg5	gr9
	ck3qy22tr00yj01ywfxhk0tlo	gr9
	ck3qy27bw00yn01ywdoe5375u	gr9
	ck3qy2ere00yp01yw6b851pxx	gr9
	ck3qy2r1b00yr01yw4s4oc6ys	gr9
	ck3qy2t4g00yt01yw19w4gwy7	gr9
	ck3qy31ie00yv01ywbc4a0kky	gr9
	7	gr3
	8	gr3
	9	gr3
	13	gr5
	14	gr5
	15	gr5
