timestamp	userId	username	instanceId	activityId	activityTitle	activityType	plane	type	itemId	value	payload
Thu, 12 Dec 2019 12:45:59 GMT		20	bAhsRdCdhbdmSA3Xi	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		18	XfmF5oW3oo59ciWMa	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		21	q8biAe3WaHsk7nf8Z	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		15	x7RzaqXj9mvRa3CSs	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		6	vMkDDhfGQ3dS9eRYt	ck42p0tul000a01ywcbdn5mto	Texte Class char	ac-text	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		13	RQam3nPuq39MfgodH	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		5	zpDPvHc94BGcj4YCT	ck42p0tul000901yw3sep44ca	Texte Gr Alternative	ac-text	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		22	5WhF9JRKgzSnh2Pmg	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		2	YR3xW7MSKf3Cn32g8	ck42p0tul000901yw3sep44ca	Texte Gr Alternative	ac-text	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		3	BrujMm2bMgouDBqnd	ck42p0tul000a01ywcbdn5mto	Texte Class char	ac-text	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		14	Yv9MA2mad8oRkfLKM	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		9	aH54ceovXmmL46tum	ck42p0tul000a01ywcbdn5mto	Texte Class char	ac-text	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		7	cx4X7QoFJDgF6ZKE8	ck42p0tul000801ywadmed9l9	Texte Quantificateur	ac-text	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		17	iSXfJDZ4btqYb8X5i	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		4	qfRxBS2J36LezSKnt	ck42p0tul000801ywadmed9l9	Texte Quantificateur	ac-text	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		8	vej69vuEoMCHp32EW	ck42p0tul000901yw3sep44ca	Texte Gr Alternative	ac-text	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		1	TTA3wnBvnrgbegTGL	ck42p0tul000801ywadmed9l9	Texte Quantificateur	ac-text	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		10	RbBQv7qMZ843Z32hc	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		12	MCAyeq9jrNSteH4LP	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		Timoté Vaucher	pZikgPmceJMjmvxwj	ck42p0tul000a01ywcbdn5mto	Texte Class char	ac-text	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		Timoté Vaucher	pZikgPmceJMjmvxwj	ck42p0tul000901yw3sep44ca	Texte Gr Alternative	ac-text	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		Timoté Vaucher	pZikgPmceJMjmvxwj	ck42p0tul000801ywadmed9l9	Texte Quantificateur	ac-text	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		Timoté Vaucher	pZikgPmceJMjmvxwj	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		Timoté Vaucher	pZikgPmceJMjmvxwj	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	activityDidMount			
Thu, 12 Dec 2019 12:45:59 GMT		Timoté Vaucher	pZikgPmceJMjmvxwj	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	activityDidMount			
Thu, 12 Dec 2019 12:46:00 GMT		16	4ZaXbiq3EtrCdDdGf	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	videoProgress	https://youtu.be/sK-ObestpxU	0	
Thu, 12 Dec 2019 12:46:00 GMT		19	5XNsb4uGwzfMTju6k	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	videoProgress	https://youtu.be/sK-ObestpxU	0	
Thu, 12 Dec 2019 12:46:00 GMT		20	bAhsRdCdhbdmSA3Xi	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	videoProgress	https://youtu.be/iWAdVB80liY	0	
Thu, 12 Dec 2019 12:46:00 GMT		18	XfmF5oW3oo59ciWMa	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0	
Thu, 12 Dec 2019 12:46:00 GMT		21	q8biAe3WaHsk7nf8Z	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0	
Thu, 12 Dec 2019 12:46:00 GMT		15	x7RzaqXj9mvRa3CSs	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0	
Thu, 12 Dec 2019 12:46:00 GMT		13	RQam3nPuq39MfgodH	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	videoProgress	https://youtu.be/sK-ObestpxU	0	
Thu, 12 Dec 2019 12:46:00 GMT		22	5WhF9JRKgzSnh2Pmg	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0	
